text,hate_label,source,profanity_score,language,dataset_version,combined_date,text_length,word_count
"Knowing ki Vikas kitna samjhata hai Priyanka aur Itch Guard Luv ko, usne bola tha Ben wali baat me ab Sallu ne bhi agree kiya!",0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,126,25
I am Muhajir .. Aur mere lye sab se Pehly Pakistan he .. agr 10 lakh Altaf Jese leaders bh is zameen ki behurmati kren un sbko sar e aam phansi Deni chahye .. Proud to be a #Muhajir and #Pakistani,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,196,41
"Doctor  sab sahi me ke PhD (in hate politics) wale. Bhai padhe likhe ho fir kyu ye sab baate karte ho. Tum bas bowling  khelo, aur maje lo. pic.twitter.com/fk1qUbQstw",0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,166,29
"Poore Desh me Patel OBC me aate Hain sirf gujrat Ko chor kar may be, ye manuwadiyon bramanwadi kabhi aapko aarackchan nahi denge ye to jis OBC Ko Mila hai usse bhi nafrat karte hain ye khoon aur chamdi ka frak karne waale bharmhanwadi kisi ke sage nahi hain",0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,257,49
"Sarkar banne ke bad Hindu hit me ek bhi faisla Jo bjp ke dwara liya gaya ho,bjp ko  gay,gobar,mandir,masjid aur nafrat faila kar vot chahiye",1,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,140,25
Hate it jab test ata ho phr bh acha na ho -.-,1,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,45,12
Ek dil ek jaan akal ke imitihaan kal KP ke rape aur sawing between two legs after rape honge justified due to cinematic liberty aaj toh Rajput ki ho gayi shaan urdu ki gulaam,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,174,34
Aise logo se sakht nafrat karta hu Jo caste ko naam ke sath jod ke chaude hote h but real me vo piddu hote h,1,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,108,25
"Sir, jyada sentimental mat ho jao peene ke baad.Jiss desh ki buniyad sirf Hindu hatred pe hui ho woh kabhi nahi sudrega. Aap POK de do yaa phir Kabootar udao, jawab sirf goliyon se milega....",1,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,191,35
I am very sorry to say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,121,27
"Madam,Bahut sochsamajhkr Mai ESS tarq pe purey42mahino mei pahucha hoon k Asli wajah ""MUSLIM Hatred""hai Jo kabi,Partition,RamTemple,GauMata,BharatMaataKiJai, VandeMatram, Raastragan, Pak Premi,Gaddaar,Bachche jyada ,5Bibiya25Bachche k safar tai karte Huey TAJMAHAL p jake atka hai",0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,280,33
I hate sapna yaar Coz khud ko toh chalana aati nae aur hum agar tez chalaenge toh tokna shru  dheere se chalao .....  https://twitter.com/znb_abbasi/status/929388980965203968 …,1,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,176,25
"Ha rem  """" emoji I hate this emoji! Mujhe nagini ki hi yaad aati Hai",0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,68,15
Hate heena..... too much irritating n bat karne ka tamiz nhi hai unme....sab ko insult karna ati hai unko.....bas aur kuch nhi ati hai.....bohot insecure hai wo ladki....,1,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,170,28
Sir apki fav kon hai iss seasn mai??,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,36,8
