text,label,source_dataset,original_label,language_hint
"Knowing ki Vikas kitna samjhata hai Priyanka aur Itch Guard Luv ko, usne bola tha Ben wali baat me ab Sallu ne bhi agree kiya!",0,combined_hate_speech_dataset_2,0,hinglish
I am Muhajir .. Aur mere lye sab se Pehly Pakistan he .. agr 10 lakh Altaf Jese leaders bh is zameen ki behurmati kren un sbko sar e aam phansi Deni chahye .. Proud to be a #Muhajir and #Pakistani,0,combined_hate_speech_dataset_2,0,hinglish
"Doctor  sab sahi me ke PhD (in hate politics) wale. Bhai padhe likhe ho fir kyu ye sab baate karte ho. Tum bas bowling  khelo, aur maje lo. pic.twitter.com/fk1qUbQstw",0,combined_hate_speech_dataset_2,0,hinglish
"Poore Desh me Patel OBC me aate Hain sirf gujrat Ko chor kar may be, ye manuwadiyon bramanwadi kabhi aapko aarackchan nahi denge ye to jis OBC Ko Mila hai usse bhi nafrat karte hain ye khoon aur chamdi ka frak karne waale bharmhanwadi kisi ke sage nahi hain",0,combined_hate_speech_dataset_2,0,hinglish
"Sarkar banne ke bad Hindu hit me ek bhi faisla Jo bjp ke dwara liya gaya ho,bjp ko  gay,gobar,mandir,masjid aur nafrat faila kar vot chahiye",1,combined_hate_speech_dataset_2,1,hinglish
Hate it jab test ata ho phr bh acha na ho -.-,1,combined_hate_speech_dataset_2,1,hinglish
Ek dil ek jaan akal ke imitihaan kal KP ke rape aur sawing between two legs after rape honge justified due to cinematic liberty aaj toh Rajput ki ho gayi shaan urdu ki gulaam,0,combined_hate_speech_dataset_2,0,hinglish
Aise logo se sakht nafrat karta hu Jo caste ko naam ke sath jod ke chaude hote h but real me vo piddu hote h,1,combined_hate_speech_dataset_2,1,hinglish
"Sir, jyada sentimental mat ho jao peene ke baad.Jiss desh ki buniyad sirf Hindu hatred pe hui ho woh kabhi nahi sudrega. Aap POK de do yaa phir Kabootar udao, jawab sirf goliyon se milega....",1,combined_hate_speech_dataset_2,1,hinglish
I am very sorry to say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,0,combined_hate_speech_dataset_2,0,hinglish
"Madam,Bahut sochsamajhkr Mai ESS tarq pe purey42mahino mei pahucha hoon k Asli wajah ""MUSLIM Hatred""hai Jo kabi,Partition,RamTemple,GauMata,BharatMaataKiJai, VandeMatram, Raastragan, Pak Premi,Gaddaar,Bachche jyada ,5Bibiya25Bachche k safar tai karte Huey TAJMAHAL p jake atka hai",0,combined_hate_speech_dataset_2,0,hinglish
I hate sapna yaar Coz khud ko toh chalana aati nae aur hum agar tez chalaenge toh tokna shru  dheere se chalao .....  https://twitter.com/znb_abbasi/status/929388980965203968 …,1,combined_hate_speech_dataset_2,1,hinglish
"Ha rem  """" emoji I hate this emoji! Mujhe nagini ki hi yaad aati Hai",0,combined_hate_speech_dataset_2,0,hinglish
Hate heena..... too much irritating n bat karne ka tamiz nhi hai unme....sab ko insult karna ati hai unko.....bas aur kuch nhi ati hai.....bohot insecure hai wo ladki....,1,combined_hate_speech_dataset_2,1,hinglish
Sir apki fav kon hai iss seasn mai??,0,combined_hate_speech_dataset_2,0,hinglish
Mehanat to school me copy karke likhne me b lagti hai fir illegal kyu? Atanki ko b lagti hai fir nafrat kyu? Paise lekar ghar ki aurato ka smman bech doge kya paise aur mehanat ke liye aap?,0,combined_hate_speech_dataset_2,0,hinglish
"Ladla wo hay jo fard jurm kay bad bhi girftar nahi hota, money trail nahi deta aur saza nahi milti, 14 murder karta hay aur phansi nahi lagti.",0,combined_hate_speech_dataset_2,0,hinglish
aur ye barun ka comeback show tha. koi q nahi dekhna chahega? lekin fir b nahi dekh paye... mai shivani ko q hate karu? muze uski acting nahi achchi lagi. jo muze laga wo maine kaha. wo mera opinion hai.,0,combined_hate_speech_dataset_2,0,hinglish
Sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko @chintskap akhand bharat ek bharathttps://twitter.com/chintskap/status/929429458188091392 …,0,combined_hate_speech_dataset_2,0,hinglish
"Code phatta hai toh phatne do, Mujhe project se nafrat ho gayi hai, Mujhe development team se hatne do",1,combined_hate_speech_dataset_2,1,hinglish
Arsi bahar jani chahiye.... I hate arsi khan,1,combined_hate_speech_dataset_2,1,hinglish
Achha bta diya hum n show hi nhi dekha tha. Khbri krta kuch ni sirf mAA bnta h kr hina ko hate.,0,combined_hate_speech_dataset_2,0,hinglish
"Karachi say agencies panjabi, pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho",1,combined_hate_speech_dataset_2,1,hinglish
Kaahe ke Hindu bhamhanwadi se nafrat hai bus,0,combined_hate_speech_dataset_2,0,hinglish
aj arshi ne jo laat eske pichwade mei mari thi wo photo twit kro bhai juldi se.,0,combined_hate_speech_dataset_2,0,hinglish
Ar tag kro ki kon-kon esh hyena ko munh mei haddi dalna chahta h ya laat marna arshi ki trh.,0,combined_hate_speech_dataset_2,0,hinglish
Gf khoon peene k liye hoti hai aur apne babu ko thana thilane k liye bas,0,combined_hate_speech_dataset_2,0,hinglish
Haa bhai. Ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai. Lets screw this haters!! @addiadn1989 #WeSupportPadmavati,1,combined_hate_speech_dataset_2,1,hinglish
Abe bigg boss show me baki contestants bhi hai un se related news deta nhi...sirf sari updates hina se related deta hai...wo bhi hate wali...khabari hai bakri chabar chabar karta rehta hina k bare me,0,combined_hate_speech_dataset_2,0,hinglish
