text,hate_label,source,profanity_score,language,dataset_version,combined_date,text_length,word_count
"जनवरी से सभी कार्डधारकों को घर पर राशन उपलब्ध करायेगी केजरीवाल सरकार।
 ",0,hindi_dataset,0,hindi,v1.0,2025-09-11,71,12
"Kisi producer ne isko agar show diya to unki bohot bari galti hogi, bcoz isne logo ka itna nafrat gain kiya hai ki TRP zero ho jayega uss show ka. @i_shilpa_shinde @Im_ShilpaShinde @Shilpa_Shinde_ @shilpa_shindey",0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,212,34
"महिला के पति ने उसे पिछले  महीने से उसी के घर में जंजीरों से बांधकर रखा था पीड़ित महिला का पति उसके साथ मारपीट करता था और टॉर्चर करता था

 
",0,hindi_dataset,0,hindi,v1.0,2025-09-11,140,30
इन मुसलमानों की तरह कोई और गदा नहीं है,0,hindi_dataset,0,hindi,v1.0,2025-09-11,38,9
मादरचोद सेना में जो बी जावन तुम जैसी चूतियो के लिए सहीद हुए वो सब हिंदू थे समझ,0,hindi_dataset,0,hindi,v1.0,2025-09-11,78,18
i know they live in germany,0,english_dataset,0,english,v1.0,2025-09-11,27,6
gerald aches just to let you know that i declined your csd i think a claim to importance is established moreover it is a pretty decent looking article with references and all thank you,0,english_dataset,0,english,v1.0,2025-09-11,184,34
chalo terrorism ki wajah se toh phatti hai ap logo ki :D and we are not terrorist and unka ko koi imaan nahi hota what about gujarat kashmir,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,140,28
370 hate ya na hate abdullah india me hoke v pok pakistan ka batate hai aur tere jese 2 kodi ki congi chudail wahi kahegi jo congress karti ayi hai. tujhe v lagta hai halala ki aadat pad gyi hai islie esa bol rhi hai,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,216,45
criminal:Jo bolta hai vohi hota hai,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,35,6
not done i noticed you marked my request for rollback as and you did not leave a reason why can you please explain talk,0,english_dataset,0,english,v1.0,2025-09-11,119,24
everyone muted you thanks for working for free face with tears of joy face with tears of joy face with tears of joy maga,0,english_dataset,0,english,v1.0,2025-09-11,120,24
catholic diocese in england even though for obvious reasons i would disagree with you on topics regarding yorkshire greater manchester you are completely right in moving back mysterious moving of catholic diocese articles diocese of salford for example he does not seem to understand that in england the catholic diocese specifically have different names to the anglican ones so there can be no room for confusion between them all so the qualification of roman catholic and anglican is not needed do you have any ideas to dissuade him i have already tried to explain to him but it does not seem to sink in,0,english_dataset,0,english,v1.0,2025-09-11,605,104
पाकिस्तान के एजेंट हमें एक जुट हो कर लड़ना होगा या हम सबकी जिम्मेदारी है श्रीफ सरकार की नहीं।,0,hindi_dataset,0,hindi,v1.0,2025-09-11,93,19
nothing really bold text hey i am bored and have nothing else to do this is also my first day on wiki,0,english_dataset,0,english,v1.0,2025-09-11,101,22
तुम गांडू अंग्रेज़ों को क्या दिक्कत हैं,0,hindi_dataset,0,hindi,v1.0,2025-09-11,38,7
well i am going to change the title to synthetic cannabinoids if anyone objects speak now,0,english_dataset,0,english,v1.0,2025-09-11,89,16
"Sahi baat har aurat mein devi hoti hai to kameene rape kyon karte hai, pahle aap iska jabaab do. Kya honeypreet koi special breed devi hai?",0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,139,26
Nafrat phailane wala ye propaganda band hona chahiye.,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,53,8
पाकिस्तान ने जो सर बुलाया है सेना के मेटो कहूँगा एसे सर रुक कात क्र भारत को देना चाहिए पाकिस्तान को तभी पता चलेगा सैली फैक मिडिया की बातो पीआर यकीन करता है या भारतीय मुसलमानों को बदनाम करता है कमीने,0,hindi_dataset,0,hindi,v1.0,2025-09-11,198,41
मैं समझता हूँ की महिलायें भी इंसान हैं पर मैं इनको हमसे छोटे इंसान में गिनता हूँ,0,hindi_dataset,0,hindi,v1.0,2025-09-11,80,17
fantastic match,0,english_dataset,0,english,v1.0,2025-09-11,15,2
retweet german anti muslim protests start again with thousands marching tonight,0,english_dataset,0,english,v1.0,2025-09-11,79,11
notification regarding mickmacnee case as a matter of standard procedure parties to an arbitration case can be unblocked summarily to allow them to participate in the case proceedings please indicate whether you wish to be unblocked in order to participate in the case for the arbitration committee,0,english_dataset,0,english,v1.0,2025-09-11,298,47
@Madeeha_Naqvi kasur Punjab me rape cases me jali police muqablon me masom nojwanon ko maarna idher be koi bolay ga?http://www.bbc.com/news/world-asia-42742980 …,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,161,21
"मीलों तक चलता रहा
यूँ हीं मोहब्बत का कारवाँ

ना लैला ऊँट से उतरी
ना मजनूँओ  ने पीछा छोड़ा 

  पुनः अध्यक्ष 

",0,hindi_dataset,0,hindi,v1.0,2025-09-11,109,21
a million times this,0,english_dataset,0,english,v1.0,2025-09-11,20,4
"बेटे अभिजीत मुखर्जी के पिता को मुखाग्नि देने के साथ ही पूर्व राष्ट्रपति प्रणव मुखर्जी पंचतत्व में विलीन हो गए
",0,hindi_dataset,0,hindi,v1.0,2025-09-11,110,20
rfa questions in reference to your questions why i asked them be best answered here basically i am testing the candidate s understanding and interpretation of policy i used to ask them of every rfa but since i have had to cut back my participation i have taken the personal policy of only asking them of newly posted rfa that do not appear to be a snowball accept and ones where only the generic questions have been answered talk cont ribs,0,english_dataset,0,english,v1.0,2025-09-11,439,81
Jo dharam ko chhupaye vo socho kya bhala kr skta h kisi ka..tbhi m socha ye saffron terror kyon kah rha h. Aaj itna pyar saffron se. Gandhi nhi gndi nali ki paidaish h.,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,168,34
i went to poland on holiday once it what a slut a nice country even more the people were very welcoming,0,english_dataset,0,english,v1.0,2025-09-11,103,21
it is so annoying when you try to be smart,0,english_dataset,0,english,v1.0,2025-09-11,42,10
कांग्रेस देश को खा गई हमें समय विकल्प नहीं मिला तो लॉग करने के लिए क्या करें प्रति एबी विकल्प बी एच और लॉग विकल्प का उपयोग बी कर रहे एच,0,hindi_dataset,0,hindi,v1.0,2025-09-11,135,31
interview with kevin dub row elizabeth what is up with removing the link to the kevin dub row interview with pod show radio that is one of kevin s last audio interviews there are other links to interviews with quite riot members in this article as well why did you fill this one what a slut a spam link,0,english_dataset,0,english,v1.0,2025-09-11,302,59
i had never imagine seeing self so happy with someone else goals finallyai,0,english_dataset,0,english,v1.0,2025-09-11,74,13
" का एक और मामला आया सामने  युवती ने पत्रकार पर लगाया गंभीर आरोप 
 
",0,hindi_dataset,0,hindi,v1.0,2025-09-11,67,13
"ताहिर हुसैन के आतंक की फैक्ट्री घर से जिस लड़की के कपड़े बरामद हुवे थे और उसकी नाले में लाश मिली थी उसकी पहचान हो चुकी है।  साल की ज्योति पाटीदार है। हिंदुओ के घरों पर हमले के बाद इस लड़की को शांतिदूतो द्वारा ताहिर के घर के अंदर घसीट कर लाया गया  शांतिदुतों ने रेप किया और 

",0,hindi_dataset,0,hindi,v1.0,2025-09-11,272,58
erik eckford i m not hellbent on keeping the critical stuff out since so many people want to trash him i just like for people to take a second look before they address stuff i realize what you are saying that he is not popular due to his research but rather the entertainment value in fact i have said that several times to others i just get a kick out of him you seem to be a fairly reasonable guy so i will just defer to your judgement whether to restore those additions,0,english_dataset,0,english,v1.0,2025-09-11,472,93
good riddance sarah sanders fuck trump,0,english_dataset,0,english,v1.0,2025-09-11,38,6
abby are you getting chickens,0,english_dataset,0,english,v1.0,2025-09-11,29,5
मेरे मैनेजर भी एक बांग्लादेशी हैं,0,hindi_dataset,0,hindi,v1.0,2025-09-11,33,6
"कोरोना काल में पितृपक्ष मेला रद्द होने के बाद चोरी छिपे पिंड दान कर रहे लोग अंधेरे में पितरों को दिला रहे मोक्ष

",0,hindi_dataset,0,hindi,v1.0,2025-09-11,113,23
let us talk about opposite concepts like gypsies and rudeness,0,english_dataset,0,english,v1.0,2025-09-11,61,10
how about the lefts war on american constitution you were including mitt as a lefty are not you,0,english_dataset,0,english,v1.0,2025-09-11,95,18
"App kaisay aik "" lunatic "" ko justify kar saktay hain jo qomyatoon ka naam par khoon ki holi khailta ho.  @hafeezbhutto31",0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,121,22
a simple google search would have shown you that he was whatever are all able to work together to edit and expand articles and in some cases an editor will begin a page with the understanding that other editors with interest and expertise will address to it over time,0,english_dataset,0,english,v1.0,2025-09-11,267,49
please stop getting bent out of shape over talk pages for internet protocol address and if you do be sure you know what is going on before you do wikipedia is an encyclopedia not a place to get worked up and get all nit picky and pedantic about stuff take a chill pill and get out of my grill,0,english_dataset,0,english,v1.0,2025-09-11,292,59
तभी अगर उन महिलाओं का कोई गला घोंट देता,0,hindi_dataset,0,hindi,v1.0,2025-09-11,39,9
पाकिस्तान देश एतना गरीब ह कि वाहा के कुत्ते हमारे देश के समाचार चैनल के पे अपनी मां बहन एक करवा रहे ह  सालो के घर समाचार चैनल भी नहीं ह खुद का ,0,hindi_dataset,0,hindi,v1.0,2025-09-11,143,33
this is getting ridiculous why does everyone think indigenous people are not experiencing evil they really are and deforestation is literally ruining their lives,0,english_dataset,0,english,v1.0,2025-09-11,161,24
मोदी जी सरकार में जवान का मरना कोई बड़ी बात नहीं भारत की सरकार ही खराब है,0,hindi_dataset,0,hindi,v1.0,2025-09-11,73,17
one of the issues that keeps getting brought up is the lack of evidence on the first vision it is being said repeatedly that there is historical that smith had this vision and that it was not historically significant enough to be discussed in the context of his early life let me counter this with a short quote from the preface to robert gemini s biography on joseph smith should make it clear at the outset that i am not a mormon as such i faced several problems in writing this book one of which involved joseph s visions and revelations which are crucial to an understanding of him his church and the times in which he lived after considerable thought i decided to present his religious experiences just as he described them in his writings and let readers decide for themselves to what extent they would give credence to them i am not out to prove or disprove any of his claims as a historian i have tried to be as objective as possible in narrating his life and work gemini p x in his book gemini presents the first vision as smith said it happened the same as other biographers do and the same where are you i believe whatever should do like gemini whatever should not be trying to prove or disprove any of smith s claims but unlike gemini or job is fairly simple whatever do not have to worry about what a slut historical and what a slut not whatever do not need to do original research our job is to reflect reliable sources,0,english_dataset,0,english,v1.0,2025-09-11,1433,269
lobsters and ligatures are you a portland area type nerd then,0,english_dataset,0,english,v1.0,2025-09-11,61,11
एक और कागलादेशी ,0,hindi_dataset,0,hindi,v1.0,2025-09-11,16,3
"तो क्या पाकिस्तान बोले गा तो हाय मानोगे
अब तो लगता है आर्मी ओ के साथ  कैमरा मैन वी बेज ना पड़ेगाइनको सबुत देने के लिए",0,hindi_dataset,0,hindi,v1.0,2025-09-11,117,26
actually i am not a cook anymore,0,english_dataset,0,english,v1.0,2025-09-11,32,7
Izzat se yaad ... ap ke ghar ki Maa behn ki izzat bachi hoi hay yah....??? Wo kia hay na aj kal Endia main rape kuch ziada hi ho rahy hain,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,138,31
remove the tricolor from this article the tricolor is not a symbol of northern ireland so why is it in this section it seems that it is here at the behest of a group of organized irish nationalist editors who are adept at playing the wikipedia game by creating controversy and thus the need for consensus which is then achieved by force of numbers could whatever have instead some genuine discussion as to why the flag should be included in a section on symbols of northern ireland please could other editors take part otherwise this article like others will remain under the control of the irish nationalist editors it what a slut previously agreed that the flag could stay if its ambiguous and point of view flag of ireland name were changed to irish tricolor but even this compromise has since been overturned by the nationalist group remember consensus means more than majority rule,0,english_dataset,0,english,v1.0,2025-09-11,886,154
घण्टा पोस्ट को तबा किया ये अज्ज कल मीडिया बहुत ज्यादा ही झूठी खबर बना कर लोगो को गुमराह करती है पोस्ट तबा करने से क्या होगा साला अगर कोई हमारे सैनिक पे हाथ उठे तो पूरा पाकिस्तान तब कर दो तबी सालो माई अक्ल आएगी।,0,hindi_dataset,0,hindi,v1.0,2025-09-11,210,46
by another suggestion that this article needs an image or two i made a couple of searches at wikimedia commons i did not find a lot but here are a few images that be of use within the article if you see a relevant place please address them in class,0,english_dataset,0,english,v1.0,2025-09-11,248,50
you want some crackers with that whine,0,english_dataset,0,english,v1.0,2025-09-11,38,7
i know a lot of bisexuals who are women,0,english_dataset,0,english,v1.0,2025-09-11,39,9
do you know anything about the postulated genetic language old european synonymy and their possible role in shedding light on the veneto,0,english_dataset,0,english,v1.0,2025-09-11,136,22
someone please high five kat andre in the face with a fry pan hard mr,0,english_dataset,0,english,v1.0,2025-09-11,69,15
it would probably be helpful if you could find something not wmc related to do it is not constructive to make snide insulting remarks like this one in general if you feel that there is an issue with another user s conduct address it politely and clearly in an appropriate venue do not take cheap shots talk,0,english_dataset,0,english,v1.0,2025-09-11,306,57
Bhai sahi movie hai ..@MomTheMovie dekh ke ek aadha murder apun ko bhi karne ka hai..kya acting hai #Sridevi ki,0,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,111,20
लोक जनशक्ति पार्टी की बैठक में फैसला हुआ है कि  विधानसभा सीटों पर उम्मीदवारों का ऐलान किया जाएगा और जल्द से जल्द लिस्ट सेंट्रल पार्ल्यामेंट्री बोर्ड को भेजी जाएगी। चुनाव में गठबंधन से संबंधित फैसले पार्टी प्रमुख करेंगे। ,0,hindi_dataset,0,hindi,v1.0,2025-09-11,220,38
agreed and done,0,english_dataset,0,english,v1.0,2025-09-11,15,3
तुम जैसे आर्टिस्ट समाज के लिए खतरा है,0,hindi_dataset,0,hindi,v1.0,2025-09-11,37,8
