text,hate_label,source,profanity_score,language,dataset_version,combined_date,text_length,word_count
and you do know me you are an extremely asshole jew and started all the same shit with him you jews have been doing the same for years banning together so to avoid the detriment of decent people find another reason most in the entire world would cheer for you the nazis today,1,english_dataset,0,english,v1.0,2025-09-11,275,53
"I just hate ""sahanubhuti' dene wale log.",1,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,40,7
समलैंगिकिस धरती पर बिना किसी संदेह के सबसे बेवकूफ हैं,1,hindi_dataset,0,hindi,v1.0,2025-09-11,53,10
so let me get this straight first you said you declined without reviewing the written record and now you are saying you reviewed it which is it i want an administrator to review this who is not simply some acorn activist which is obvious since you ran under the working families party which is on their front group because you are where are you too biased to be touching anything related to obamacare and my edit summaries does not fucking matter what matters is that you nut sacks cursed at me first not logged up in of course and the proceeded so to delete my comments repeatedly made to provoke some sort of reaction so you could ban me i made some simple original article suggestions talk about how the law is illegal since it violates the originality clause of both the constitution and how the entire article reads like an obama campaign worker wrote it the response what a slut to repeatedly censor me for no legitimate reason but democrats are fascist pricks and you are proving that right now no wonder nobody trusts wikipedia or wants to contribute here you might as well say to wikipedia we will provoke and ban you back if whatever does not like your facts,1,english_dataset,0,english,v1.0,2025-09-11,1168,212
enough is enough,0,english_dataset,0,english,v1.0,2025-09-11,16,3
"Aaj shriman @yadavakhilesh Jin 4 candidates le liye vote mangege unki degree he gang rape , murder , money loundering, rangdari vasooli  pic.twitter.com/m6dzfnITpb",1,hate_speech_tsv,0,hinglish,v1.0,2025-09-11,163,23
stop in migration of all refugees and you will be secure,1,english_dataset,0,english,v1.0,2025-09-11,56,11
there is this anger build up in anger that is being destroyed through whole life because it feel like i was no good however i believe it is because i have always been with other non whites,1,english_dataset,0,english,v1.0,2025-09-11,188,37
डॉक्टर कफील खान के रिहाई के वायरल पोस्ट्स फ़र्ज़ी हैं ,0,hindi_dataset,0,hindi,v1.0,2025-09-11,54,10
please stop getting bent out of shape over talk pages for internet protocol address and if you do be sure you know what is going on before you do wikipedia is an encyclopedia not a place to get worked up and get all nit picky and pedantic about stuff take a chill pill and get out of my grill,0,english_dataset,0,english,v1.0,2025-09-11,292,59
that mongoloid is a scammer what as he in there giving her fucking tits off,1,english_dataset,0,english,v1.0,2025-09-11,75,15
"केंद्रीय मंत्री रविशंकर प्रसाद ने  को पत्र लिखकर 
 पर भेदभाव करने का आरोप लगाया।

",1,hindi_dataset,0,hindi,v1.0,2025-09-11,82,14
आइए उन मुसलमानों को यहां से भगा दिया जाए,1,hindi_dataset,0,hindi,v1.0,2025-09-11,40,9
