text,label
film ka kya naam hai,0
"namaste, sada hua tomatoes score mahaan hai, lekin meta critic score is gunavatta kee philm se thoda kam lagata hai.",0
kya aapako lagata hai ki aapako film pasand aaegee,0
yah kis tarah kee philm hai,0
film  kab banee thee?,0
"aashchary hai ki mahila, mujhe lagata hai ki mujhe is film mein bahut maja aaega",0
film ka kya naam hai,0
yah deesee komik duniya mein sthaapit ek ekshan philm hai,0
: film mein kaun sitaare hain,0
Movie 2015 mein banee thee,0
kya isane theaters mein achchha pradarshan kiya?,0
Kya mujhe ise paane kelie any movie dekhanee hongee?,0
"Main character Gal gadot hai, lekin Chris pine, Robin wright aur Danny huston bhi hain",0
Movie ke baare mein kya hai?,0
"Nahin, mujhe lagata hai ki yah movie ek stand alone piece hai jise samajhane ke lie aapako movies  ke knowledge kee aavashyakata nahin hogee",0
Yah ek war moovie ekshan movie hai,0
Kya aapako lagata hai ki yah bachchon kelie ek paarivaarik movie hai,0
Kya aap movie ke kisee bhee kalaakaar se parichit hain?,0
Thoda malum,0
muje lgta hai ki ek faimly mai bacho ke saath dekh sakte hai,0
ho skta hai wo war ke bare mai,0
konse color ki pallet use hui hai,0
ha vo film ke war ke bare me jada nhi dikhate ha bas war he dikhate hai,0
to wo dark or cold or bright action hai,0
movies mai war rokne ke bare mai,0
kaise ek admi war rok skta hai,0
muje lgta hai yeh movie dono bright scene or dark scene par based hai,0
wo ek wonderwoman hai uske pass super powers hai,0
to wo marvle movie hai,0
haa marvle ke alava dc univerce hai,0
ye abhi tak cinemaghar se bahar hai?,0
Mei ye nahi socha par mejhe vishvash hai ki ye blu ray mei bahar aayegi,0
MOVIE KE BAARE MEIN BATAIE,0
MAINNE YAH MOVIE KABHEE NAHIN DEKHEE.,0
KYA AAP JAANATE HAIN KI YAH KIS BAARE MEIN HAI?,0
NAHIN MAIN NAHIN. MUJHE PATA HAI KI ISAMEN KUCHH BEHATAREEN KALAAKAAR HAIN JAISE TOM HAINKS AUR MERIL STREEP.,0
MERE PASANDEEDA KE DO,0
MERA BHI. KYA AAPANE PAHALE YAH MOVIE DEKHEE HAI?,0
NAHIN ABHEE TAK NAHIN।,0
KYA AAP ISE DEKHANA CHAAHATE HAIN?,0
MUJHE LAGATA HAI KI YAH MOVIE KO GOOGLAI KE LIE EK BURA VICHAAR NAHIN HOGA AUR DEKHEN KI YAH KIS BAARE MEIN HAI. EK BAAR ISAMEN TOM HAINKS KO DEKHAKAR MUJHE BURA NAHIN LAGEGA.,0
VAH MAJAAKIYA HAI,0
GOOGLE EK ACHHA VICHAR HAIN,0
YEAH VH HAI.MAIN USKE BAHUT SARE MOVIES PASAND KARTHA HOON,0
IMDB KE ALAVA.NAHI,0
MAIN BHI,0
HUMKO CHECK KARNA CHAHIYE,0
AAP EK SAAL MEIN KITNE MOVIE DEKHTHE HAIN,0
ACHHI SAWAL.BAHUT SARE,0
AAP KA PASANDEEDA SHAILEE KYA HAIN?,0
MUJHE ROMANCHAKARI . mujhe Fatal Atrraction pasand hain,0
MUJHE VAISI THRAH  DOOSARI MOVIES BHI PASAND HAIN,0
